Timestamp,One Galle Face  [Morning (6.00 AM - 12.00 PM)],One Galle Face  [Evening (12.00 PM - 6.00 PM)],One Galle Face  [Night (6.00 PM - 12.00 AM)],Colombo City Center (CCC) [Morning (6.00 AM - 12.00 PM)],Colombo City Center (CCC) [Evening (12.00 PM - 6.00 PM)],Colombo City Center (CCC) [Night (6.00 PM - 12.00 AM)],Galle Face Green [Morning (6.00 AM - 12.00 PM)],Galle Face Green [Evening (12.00 PM - 6.00 PM)],Galle Face Green [Night (6.00 PM - 12.00 AM)],Gangaramaya Temple [Morning (6.00 AM - 12.00 PM)],Gangaramaya Temple [Evening (12.00 PM - 6.00 PM)],Gangaramaya Temple [Night (6.00 PM - 12.00 AM)],National Museum of Colombo [Morning (6.00 AM - 12.00 PM)],National Museum of Colombo [Evening (12.00 PM - 6.00 PM)],National Museum of Colombo [Night (6.00 PM - 12.00 AM)],Independence Memorial Hall [Morning (6.00 AM - 12.00 PM)],Independence Memorial Hall [Evening (12.00 PM - 6.00 PM)],Independence Memorial Hall [Night (6.00 PM - 12.00 AM)],Dutch Museum [Morning (6.00 AM - 12.00 PM)],Dutch Museum [Evening (12.00 PM - 6.00 PM)],Dutch Museum [Night (6.00 PM - 12.00 AM)],National Art Gallery [Morning (6.00 AM - 12.00 PM)],National Art Gallery [Evening (12.00 PM - 6.00 PM)],National Art Gallery [Night (6.00 PM - 12.00 AM)],Kelaniya Raja Maha Viharaya [Morning (6.00 AM - 12.00 PM)],Kelaniya Raja Maha Viharaya [Evening (12.00 PM - 6.00 PM)],Kelaniya Raja Maha Viharaya [Night (6.00 PM - 12.00 AM)],Kailasanathar Swamy Kovil [Morning (6.00 AM - 12.00 PM)],Kailasanathar Swamy Kovil [Evening (12.00 PM - 6.00 PM)],Kailasanathar Swamy Kovil [Night (6.00 PM - 12.00 AM)],Viharamahadevi Park [Morning (6.00 AM - 12.00 PM)],Viharamahadevi Park [Evening (12.00 PM - 6.00 PM)],Viharamahadevi Park [Night (6.00 PM - 12.00 AM)],Port City [Morning (6.00 AM - 12.00 PM)],Port City [Evening (12.00 PM - 6.00 PM)],Port City [Night (6.00 PM - 12.00 AM)],Lotus Tower [Morning (6.00 AM - 12.00 PM)],Lotus Tower [Evening (12.00 PM - 6.00 PM)],Lotus Tower [Night (6.00 PM - 12.00 AM)],Pettah Market [Morning (6.00 AM - 12.00 PM)],Pettah Market [Evening (12.00 PM - 6.00 PM)],Pettah Market [Night (6.00 PM - 12.00 AM)],Are you from Sri Lanka? ,"If not, which country are you from? ",How often do you travel and visit places?,Jami Ul-Alfar Mosque [Morning (6.00 AM - 12.00 PM)],Jami Ul-Alfar Mosque [Evening (12.00 PM - 6.00 PM)],Jami Ul-Alfar Mosque [Night (6.00 PM - 12.00 AM)],Consent notice,Jami Ul-Alfar Mosque
12/10/2023 13:34:07,Never visited,2 - 3 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,2 - 3 hours,2 - 3 hours,Never visited,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/10/2023 14:05:38,Less than 1 hour,2 - 3 hours,More than 3 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,1 - 2 hours,More than 3 hours,More than 3 hours,Less than 1 hour,More than 3 hours,1 - 2 hours,Never visited,Never visited,Never visited,2 - 3 hours,More than 3 hours,More than 3 hours,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,1 - 2 hours,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/10/2023 15:21:04,Less than 1 hour,Never visited,2 - 3 hours,Never visited,1 - 2 hours,2 - 3 hours,Never visited,2 - 3 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,Never visited,2 - 3 hours,1 - 2 hours,Never visited,Less than 1 hour,1 - 2 hours,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,2 - 3 hours,Less than 1 hour,2 - 3 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,2 - 3 hours,2 - 3 hours,Never visited,Less than 1 hour,Never visited,Never visited,Never visited,2 - 3 hours,1 - 2 hours,Less than 1 hour,Yes,,Frequently,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/10/2023 19:54:44,1 - 2 hours,1 - 2 hours,2 - 3 hours,Less than 1 hour,Less than 1 hour,2 - 3 hours,Never visited,Never visited,2 - 3 hours,Less than 1 hour,Never visited,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,2 - 3 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,Never visited,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,Less than 1 hour,Never visited,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/10/2023 22:14:55,Less than 1 hour,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,Yes,,Occassionally,Less than 1 hour,Less than 1 hour,Less than 1 hour,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/11/2023 16:16:34,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/11/2023 23:27:27,Less than 1 hour,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,More than 3 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,More than 3 hours,2 - 3 hours,Never visited,Never visited,More than 3 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Yes,,Rarely,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/12/2023 15:23:29,1 - 2 hours,2 - 3 hours,More than 3 hours,1 - 2 hours,2 - 3 hours,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Never visited,1 - 2 hours,Never visited,Less than 1 hour,1 - 2 hours,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/12/2023 16:05:31,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Yes,,Rarely,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/12/2023 18:48:11,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Never visited,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/13/2023 13:23:05,Less than 1 hour,2 - 3 hours,2 - 3 hours,Never visited,2 - 3 hours,1 - 2 hours,Never visited,Never visited,More than 3 hours,1 - 2 hours,Less than 1 hour,Never visited,1 - 2 hours,Never visited,Never visited,Less than 1 hour,1 - 2 hours,1 - 2 hours,Never visited,1 - 2 hours,Less than 1 hour,Never visited,Never visited,Never visited,Less than 1 hour,Never visited,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Never visited,Never visited,2 - 3 hours,Never visited,Never visited,Never visited,Less than 1 hour,Less than 1 hour,Never visited,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/13/2023 20:54:45,2 - 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,2 - 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,2 - 3 hours,2 - 3 hours,2 - 3 hours,Yes,Srilanka,Frequently,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/14/2023 8:31:27,Never visited,1 - 2 hours,2 - 3 hours,Less than 1 hour,1 - 2 hours,2 - 3 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,Less than 1 hour,Less than 1 hour,Never visited,1 - 2 hours,Never visited,Never visited,2 - 3 hours,2 - 3 hours,1 - 2 hours,2 - 3 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,Never visited,Never visited,Never visited,2 - 3 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Never visited,2 - 3 hours,2 - 3 hours,1 - 2 hours,Yes,,Frequently,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/14/2023 9:23:05,Less than 1 hour,Less than 1 hour,2 - 3 hours,Less than 1 hour,2 - 3 hours,More than 3 hours,Less than 1 hour,2 - 3 hours,More than 3 hours,Never visited,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,1 - 2 hours,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,2 - 3 hours,1 - 2 hours,Yes,,Rarely,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/14/2023 10:06:16,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,1 - 2 hours,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/14/2023 10:13:56,Never visited,1 - 2 hours,2 - 3 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Less than 1 hour,Never visited,Less than 1 hour,Never visited,Less than 1 hour,Less than 1 hour,Never visited,1 - 2 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Never visited,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Yes,-,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/14/2023 10:25:39,Less than 1 hour,2 - 3 hours,Less than 1 hour,Less than 1 hour,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,2 - 3 hours,Less than 1 hour,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/14/2023 10:26:03,Never visited,Less than 1 hour,More than 3 hours,Never visited,Never visited,2 - 3 hours,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,1 - 2 hours,Never visited,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/14/2023 10:36:07,Never visited,1 - 2 hours,Less than 1 hour,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Never visited,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,Less than 1 hour,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/14/2023 10:36:24,1 - 2 hours,2 - 3 hours,Never visited,Less than 1 hour,1 - 2 hours,Less than 1 hour,Never visited,Less than 1 hour,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Less than 1 hour,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/14/2023 11:08:16,Less than 1 hour,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,Yes,,Rarely,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/14/2023 16:15:38,Never visited,1 - 2 hours,2 - 3 hours,Never visited,1 - 2 hours,2 - 3 hours,Never visited,1 - 2 hours,1 - 2 hours,Never visited,Less than 1 hour,Never visited,1 - 2 hours,1 - 2 hours,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Never visited,1 - 2 hours,1 - 2 hours,Never visited,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Less than 1 hour,1 - 2 hours,Less than 1 hour,Never visited,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Never visited,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/14/2023 21:20:00,Never visited,2 - 3 hours,2 - 3 hours,Never visited,2 - 3 hours,2 - 3 hours,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,1 - 2 hours,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Less than 1 hour,1 - 2 hours,2 - 3 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,Never visited,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/15/2023 17:01:43,More than 3 hours,More than 3 hours,1 - 2 hours,Less than 1 hour,2 - 3 hours,More than 3 hours,Less than 1 hour,Less than 1 hour,1 - 2 hours,Never visited,Less than 1 hour,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,Less than 1 hour,Less than 1 hour,Never visited,1 - 2 hours,2 - 3 hours,Never visited,1 - 2 hours,1 - 2 hours,More than 3 hours,More than 3 hours,Never visited,Yes,,Frequently,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/15/2023 20:45:40,1 - 2 hours,Less than 1 hour,2 - 3 hours,1 - 2 hours,Less than 1 hour,2 - 3 hours,Less than 1 hour,Never visited,More than 3 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,1 - 2 hours,Never visited,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,Never visited,Less than 1 hour,1 - 2 hours,Never visited,Yes,,Occassionally,Less than 1 hour,Less than 1 hour,Less than 1 hour,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/16/2023 19:43:21,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,2 - 3 hours,Never visited,Never visited,Never visited,More than 3 hours,2 - 3 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,More than 3 hours,More than 3 hours,Less than 1 hour,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
