Timestamp,One Galle Face  [Morning (6.00 AM - 12.00 PM)],One Galle Face  [Evening (12.00 PM - 6.00 PM)],One Galle Face  [Night (6.00 PM - 12.00 AM)],Colombo City Center (CCC) [Morning (6.00 AM - 12.00 PM)],Colombo City Center (CCC) [Evening (12.00 PM - 6.00 PM)],Colombo City Center (CCC) [Night (6.00 PM - 12.00 AM)],Galle Face Green [Morning (6.00 AM - 12.00 PM)],Galle Face Green [Evening (12.00 PM - 6.00 PM)],Galle Face Green [Night (6.00 PM - 12.00 AM)],Gangaramaya Temple [Morning (6.00 AM - 12.00 PM)],Gangaramaya Temple [Evening (12.00 PM - 6.00 PM)],Gangaramaya Temple [Night (6.00 PM - 12.00 AM)],National Museum of Colombo [Morning (6.00 AM - 12.00 PM)],National Museum of Colombo [Evening (12.00 PM - 6.00 PM)],National Museum of Colombo [Night (6.00 PM - 12.00 AM)],Independence Memorial Hall [Morning (6.00 AM - 12.00 PM)],Independence Memorial Hall [Evening (12.00 PM - 6.00 PM)],Independence Memorial Hall [Night (6.00 PM - 12.00 AM)],Dutch Museum [Morning (6.00 AM - 12.00 PM)],Dutch Museum [Evening (12.00 PM - 6.00 PM)],Dutch Museum [Night (6.00 PM - 12.00 AM)],National Art Gallery [Morning (6.00 AM - 12.00 PM)],National Art Gallery [Evening (12.00 PM - 6.00 PM)],National Art Gallery [Night (6.00 PM - 12.00 AM)],Kelaniya Raja Maha Viharaya [Morning (6.00 AM - 12.00 PM)],Kelaniya Raja Maha Viharaya [Evening (12.00 PM - 6.00 PM)],Kelaniya Raja Maha Viharaya [Night (6.00 PM - 12.00 AM)],Kailasanathar Swamy Kovil [Morning (6.00 AM - 12.00 PM)],Kailasanathar Swamy Kovil [Evening (12.00 PM - 6.00 PM)],Kailasanathar Swamy Kovil [Night (6.00 PM - 12.00 AM)],Viharamahadevi Park [Morning (6.00 AM - 12.00 PM)],Viharamahadevi Park [Evening (12.00 PM - 6.00 PM)],Viharamahadevi Park [Night (6.00 PM - 12.00 AM)],Port City [Morning (6.00 AM - 12.00 PM)],Port City [Evening (12.00 PM - 6.00 PM)],Port City [Night (6.00 PM - 12.00 AM)],Lotus Tower [Morning (6.00 AM - 12.00 PM)],Lotus Tower [Evening (12.00 PM - 6.00 PM)],Lotus Tower [Night (6.00 PM - 12.00 AM)],Pettah Market [Morning (6.00 AM - 12.00 PM)],Pettah Market [Evening (12.00 PM - 6.00 PM)],Pettah Market [Night (6.00 PM - 12.00 AM)],Are you from Sri Lanka? ,"If not, which country are you from? ",How often do you travel and visit places?,Jami Ul-Alfar Mosque [Morning (6.00 AM - 12.00 PM)],Jami Ul-Alfar Mosque [Evening (12.00 PM - 6.00 PM)],Jami Ul-Alfar Mosque [Night (6.00 PM - 12.00 AM)],Consent notice,Jami Ul-Alfar Mosque
11/29/2023 10:05:40,More than 3 hours,2 - 3 hours,More than 3 hours,2 - 3 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,2 - 3 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,More than 3 hours,More than 3 hours,More than 3 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,2 - 3 hours,More than 3 hours,More than 3 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,More than 3 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,More than 3 hours,2 - 3 hours,More than 3 hours,2 - 3 hours,2 - 3 hours,More than 3 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,,,,,,,,
11/29/2023 10:12:24,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,1 - 2 hours,2 - 3 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,,,,,,,,
11/29/2023 10:22:23,2 - 3 hours,More than 3 hours,More than 3 hours,2 - 3 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,2 - 3 hours,1 - 2 hours,Less than 1 hour,2 - 3 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,2 - 3 hours,More than 3 hours,1 - 2 hours,Less than 1 hour,2 - 3 hours,Less than 1 hour,1 - 2 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,,,,,,,,
11/29/2023 10:30:31,2 - 3 hours,2 - 3 hours,1 - 2 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,More than 3 hours,2 - 3 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,1 - 2 hours,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,1 - 2 hours,Less than 1 hour,Less than 1 hour,1 - 2 hours,Less than 1 hour,Less than 1 hour,2 - 3 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,Less than 1 hour,Less than 1 hour,More than 3 hours,2 - 3 hours,1 - 2 hours,,,,,,,,
11/29/2023 10:31:16,2 - 3 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,Less than 1 hour,2 - 3 hours,1 - 2 hours,Less than 1 hour,,,,,,,,
11/29/2023 21:07:15,Less than 1 hour,2 - 3 hours,More than 3 hours,Less than 1 hour,1 - 2 hours,More than 3 hours,1 - 2 hours,Less than 1 hour,2 - 3 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,Less than 1 hour,Less than 1 hour,1 - 2 hours,Less than 1 hour,2 - 3 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,Less than 1 hour,,,,,,,,
12/9/2023 10:33:48,1 - 2 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,2 - 3 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,1 - 2 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,1 - 2 hours,More than 3 hours,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,1 - 2 hours,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/9/2023 12:14:50,1 - 2 hours,More than 3 hours,Less than 1 hour,1 - 2 hours,2 - 3 hours,Less than 1 hour,2 - 3 hours,More than 3 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,2 - 3 hours,More than 3 hours,More than 3 hours,1 - 2 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,More than 3 hours,More than 3 hours,2 - 3 hours,Never visited,Never visited,Never visited,1 - 2 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,Yes,,Frequently,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/9/2023 12:17:25,1 - 2 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,2 - 3 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,Less than 1 hour,2 - 3 hours,2 - 3 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,2 - 3 hours,Less than 1 hour,1 - 2 hours,Never visited,Never visited,Never visited,1 - 2 hours,2 - 3 hours,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,Never visited,Never visited,Never visited,1 - 2 hours,Less than 1 hour,1 - 2 hours,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/9/2023 12:20:03,1 - 2 hours,More than 3 hours,2 - 3 hours,1 - 2 hours,More than 3 hours,2 - 3 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,2 - 3 hours,Less than 1 hour,Never visited,Never visited,Never visited,Less than 1 hour,1 - 2 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,Never visited,1 - 2 hours,2 - 3 hours,Never visited,More than 3 hours,More than 3 hours,More than 3 hours,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/9/2023 12:24:19,Never visited,Less than 1 hour,1 - 2 hours,Never visited,Less than 1 hour,1 - 2 hours,Less than 1 hour,Never visited,Less than 1 hour,Less than 1 hour,Less than 1 hour,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,2 - 3 hours,2 - 3 hours,1 - 2 hours,Less than 1 hour,Never visited,Less than 1 hour,1 - 2 hours,1 - 2 hours,Less than 1 hour,Never visited,Never visited,Less than 1 hour,1 - 2 hours,1 - 2 hours,Less than 1 hour,Never visited,1 - 2 hours,Less than 1 hour,Never visited,Never visited,Less than 1 hour,1 - 2 hours,Yes,,Never,2 - 3 hours,1 - 2 hours,Less than 1 hour,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/9/2023 12:32:14,Never visited,1 - 2 hours,2 - 3 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,2 - 3 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Less than 1 hour,Never visited,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/9/2023 12:36:04,Never visited,1 - 2 hours,1 - 2 hours,Never visited,1 - 2 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,1 - 2 hours,Never visited,More than 3 hours,More than 3 hours,More than 3 hours,Never visited,Never visited,Never visited,More than 3 hours,More than 3 hours,More than 3 hours,Yes,,Frequently,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/9/2023 12:59:08,More than 3 hours,More than 3 hours,1 - 2 hours,1 - 2 hours,2 - 3 hours,More than 3 hours,Never visited,More than 3 hours,More than 3 hours,More than 3 hours,More than 3 hours,2 - 3 hours,Never visited,More than 3 hours,Never visited,2 - 3 hours,2 - 3 hours,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,More than 3 hours,1 - 2 hours,More than 3 hours,Never visited,2 - 3 hours,2 - 3 hours,Less than 1 hour,More than 3 hours,Never visited,Never visited,2 - 3 hours,Never visited,Never visited,More than 3 hours,Never visited,More than 3 hours,More than 3 hours,More than 3 hours,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/9/2023 13:53:41,1 - 2 hours,1 - 2 hours,1 - 2 hours,Never visited,1 - 2 hours,1 - 2 hours,Never visited,2 - 3 hours,1 - 2 hours,Less than 1 hour,1 - 2 hours,2 - 3 hours,Never visited,Less than 1 hour,Never visited,Never visited,Less than 1 hour,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,Never visited,1 - 2 hours,Never visited,Never visited,1 - 2 hours,Less than 1 hour,Never visited,Less than 1 hour,Never visited,1 - 2 hours,1 - 2 hours,Never visited,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/9/2023 14:03:46,Never visited,2 - 3 hours,2 - 3 hours,Never visited,Never visited,More than 3 hours,Never visited,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Yes,,Rarely,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/9/2023 14:39:19,Never visited,Less than 1 hour,1 - 2 hours,Never visited,Less than 1 hour,1 - 2 hours,Never visited,Less than 1 hour,1 - 2 hours,Never visited,Never visited,1 - 2 hours,Never visited,Less than 1 hour,Never visited,Less than 1 hour,1 - 2 hours,1 - 2 hours,Never visited,Less than 1 hour,Never visited,Never visited,Less than 1 hour,Never visited,Never visited,1 - 2 hours,Never visited,Less than 1 hour,1 - 2 hours,1 - 2 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Never visited,Less than 1 hour,Less than 1 hour,Never visited,Never visited,Less than 1 hour,Never visited,Less than 1 hour,1 - 2 hours,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/9/2023 15:54:38,Never visited,1 - 2 hours,Never visited,Never visited,Never visited,Never visited,Never visited,1 - 2 hours,Less than 1 hour,Never visited,1 - 2 hours,Never visited,Never visited,2 - 3 hours,Never visited,Never visited,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,2 - 3 hours,More than 3 hours,Less than 1 hour,Never visited,Never visited,Never visited,Never visited,2 - 3 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Yes,,Rarely,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
12/9/2023 17:05:43,2 - 3 hours,More than 3 hours,2 - 3 hours,2 - 3 hours,More than 3 hours,2 - 3 hours,2 - 3 hours,More than 3 hours,More than 3 hours,Less than 1 hour,1 - 2 hours,2 - 3 hours,2 - 3 hours,More than 3 hours,2 - 3 hours,1 - 2 hours,2 - 3 hours,2 - 3 hours,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,Never visited,2 - 3 hours,More than 3 hours,More than 3 hours,Never visited,Never visited,More than 3 hours,Never visited,Never visited,Never visited,More than 3 hours,More than 3 hours,More than 3 hours,Yes,,Occassionally,Never visited,Never visited,Never visited,I have read and understood all the points mentioned above and consent to the usage of the data that I am above to submit.,
